,completion,score
0,0.0,-0.9976190476190476
1,0.0,-0.9976190476190476
2,0.4,-0.6619047619047619
3,0.4,-0.7066666666666667
4,0.4,-0.6323809523809524
5,0.0,-0.9976190476190476
6,0.2,-0.8519047619047619
7,0.0,-0.9976190476190476
8,0.2,-0.8261904761904761
9,0.0,-0.9976190476190476
10,0.0,-0.9976190476190476
11,0.2,-0.8852380952380953
12,0.6,-0.58
13,0.2,-0.8495238095238096
14,0.0,-0.9976190476190476
15,0.0,-0.9976190476190476
16,0.0,-0.9976190476190476
17,0.0,-0.9976190476190476
18,0.0,-0.9976190476190476
19,0.4,-0.6466666666666666
20,0.0,-0.9976190476190476
21,0.0,-0.9976190476190476
22,0.0,-0.9976190476190476
23,0.2,-0.8690476190476191
24,0.4,-0.6904761904761905
25,0.0,-0.9976190476190476
26,0.0,-0.9976190476190476
27,0.2,-0.8147619047619048
28,0.4,-0.6271428571428571
29,0.2,-0.8895238095238095
30,0.4,-0.7557142857142857
31,0.0,-0.9976190476190476
32,0.0,-0.9976190476190476
33,0.2,-0.8923809523809524
34,0.2,-0.8257142857142857
35,0.0,-0.9976190476190476
36,0.0,-0.9976190476190476
37,0.4,-0.7142857142857143
38,0.0,-0.9976190476190476
39,0.0,-0.9976190476190476
40,0.0,-0.9976190476190476
41,0.0,-0.9976190476190476
42,0.2,-0.8347619047619048
43,0.0,-0.9976190476190476
44,0.2,-0.81
45,0.8,-0.30142857142857143
46,0.6,-0.5233333333333333
47,0.2,-0.8228571428571428
48,0.0,-0.9976190476190476
49,0.4,-0.6876190476190476
50,0.2,-0.8261904761904761
51,0.0,-0.9976190476190476
52,0.4,-0.6295238095238095
53,0.0,-0.9976190476190476
54,0.0,-0.9976190476190476
55,0.0,-0.9976190476190476
56,0.4,-0.7047619047619048
57,0.4,-0.6523809523809524
58,0.0,-0.9976190476190476
59,0.0,-0.9976190476190476
60,0.0,-0.9976190476190476
61,0.2,-0.8576190476190476
62,0.4,-0.7395238095238095
63,0.2,-0.8119047619047619
64,1.0,-0.14095238095238094
65,0.0,-0.9976190476190476
66,0.2,-0.8323809523809523
67,0.2,-0.9166666666666666
68,0.4,-0.6323809523809524
69,0.0,-0.9976190476190476
70,0.0,-0.9976190476190476
71,0.0,-0.9976190476190476
72,0.2,-0.9709523809523809
73,0.0,-0.9976190476190476
74,0.0,-0.9976190476190476
75,1.0,-0.4719047619047619
76,0.8,-0.3161904761904762
77,0.2,-0.8114285714285714
78,0.6,-0.5552380952380952
79,0.2,-0.8066666666666666
80,0.0,-0.9976190476190476
81,0.0,-0.9976190476190476
82,0.0,-0.9976190476190476
83,1.0,-0.25666666666666665
84,0.6,-0.7061904761904761
85,1.0,-0.25523809523809526
86,0.0,-0.9976190476190476
87,0.4,-0.7180952380952381
88,0.8,-0.2923809523809524
89,0.6,-0.49952380952380954
90,0.6,-0.5795238095238096
91,0.4,-0.7595238095238095
92,0.6,-0.6038095238095238
93,1.0,-0.27095238095238094
94,0.2,-0.820952380952381
95,0.6,-0.53
96,0.4,-0.6561904761904762
97,0.0,-0.9976190476190476
98,0.8,-0.38095238095238093
99,0.2,-0.8338095238095238
100,0.4,-0.6238095238095238
101,0.8,-0.6309523809523809
102,0.4,-0.6519047619047619
103,0.2,-0.8128571428571428
104,0.4,-0.6471428571428571
105,0.6,-0.5285714285714286
106,0.6,-0.5261904761904762
107,0.2,-0.8595238095238096
108,0.0,-0.9976190476190476
109,0.4,-0.7571428571428571
110,0.0,-0.9976190476190476
111,0.0,-0.9976190476190476
112,0.2,-0.810952380952381
113,0.0,-0.9976190476190476
114,0.2,-0.8328571428571429
115,0.2,-0.8095238095238095
116,0.8,-0.2719047619047619
117,0.4,-0.6595238095238095
118,0.0,-0.9976190476190476
119,0.0,-0.9976190476190476
120,0.4,-0.6795238095238095
121,0.6,-0.5895238095238096
122,0.2,-0.8285714285714286
123,0.4,-0.6171428571428571
124,1.0,-0.07952380952380952
125,1.0,-0.3461904761904762
126,0.6,-0.5042857142857143
127,0.2,-0.8238095238095238
128,0.4,-0.6295238095238095
129,1.0,-0.4423809523809524
130,0.4,-0.7280952380952381
131,1.0,-0.1919047619047619
132,0.0,-0.9976190476190476
133,0.4,-0.8128571428571428
134,0.4,-0.6566666666666666
135,0.0,-0.9976190476190476
136,0.0,-0.9976190476190476
137,0.4,-0.6257142857142857
138,0.6,-0.4704761904761905
139,0.2,-0.8523809523809524
140,0.4,-0.7528571428571429
141,0.6,-0.5280952380952381
142,0.2,-0.8419047619047619
143,0.0,-0.9976190476190476
144,1.0,-0.21428571428571427
145,1.0,-0.2714285714285714
146,0.2,-0.8385714285714285
147,0.4,-0.6538095238095238
148,0.2,-0.81
149,0.4,-0.6547619047619048
150,1.0,-0.18142857142857144
151,0.2,-0.840952380952381
152,0.2,-0.83
153,0.6,-0.5414285714285715
154,1.0,-0.13428571428571429
155,0.6,-0.55
156,1.0,-0.22666666666666666
157,0.6,-0.4623809523809524
158,0.6,-0.46190476190476193
159,0.4,-0.6733333333333333
160,0.8,-0.30428571428571427
161,1.0,-0.22047619047619046
162,1.0,-0.19523809523809524
163,0.8,-0.3871428571428571
164,1.0,-0.2280952380952381
