,completion,score
0,0.0,-0.9976190476190476
1,0.0,-0.9976190476190476
2,0.2,-0.8695238095238095
3,0.6,-0.7376190476190476
4,0.2,-0.8385714285714285
5,0.4,-0.7028571428571428
6,0.0,-0.9976190476190476
7,0.0,-0.9976190476190476
8,0.0,-0.9976190476190476
9,0.0,-0.9976190476190476
10,0.2,-0.820952380952381
11,0.0,-0.9976190476190476
12,0.2,-0.8514285714285714
13,0.0,-0.9976190476190476
14,0.0,-0.9976190476190476
15,0.0,-0.9976190476190476
16,0.4,-0.7885714285714286
17,0.2,-0.8161904761904762
18,0.0,-0.9976190476190476
19,0.0,-0.9976190476190476
20,0.0,-0.9976190476190476
21,0.0,-0.9976190476190476
22,0.6,-0.6133333333333333
23,0.0,-0.9976190476190476
24,0.8,-0.6085714285714285
25,0.6,-0.5009523809523809
26,0.0,-0.9976190476190476
27,0.0,-0.9976190476190476
28,0.0,-0.9976190476190476
29,0.0,-0.9976190476190476
30,0.0,-0.9976190476190476
31,0.2,-0.8728571428571429
32,0.0,-0.9976190476190476
33,0.2,-0.8133333333333334
34,0.0,-0.9976190476190476
35,0.0,-0.9976190476190476
36,0.4,-0.7352380952380952
37,0.4,-0.7204761904761905
38,0.2,-0.8328571428571429
39,0.0,-0.9976190476190476
40,0.0,-0.9976190476190476
41,0.0,-0.9976190476190476
42,0.8,-0.45904761904761904
43,0.0,-0.9976190476190476
44,0.4,-0.6714285714285714
45,0.0,-0.9976190476190476
46,0.4,-0.7466666666666667
47,0.0,-0.9976190476190476
48,0.4,-0.719047619047619
49,0.0,-0.9976190476190476
50,0.0,-0.9976190476190476
51,0.4,-0.6747619047619048
52,0.4,-0.6838095238095238
53,0.2,-0.9742857142857143
54,0.0,-0.9976190476190476
55,0.2,-0.85
56,0.6,-0.49238095238095236
57,0.8,-0.5190476190476191
58,0.4,-0.8666666666666667
59,0.0,-0.9976190476190476
60,0.2,-0.8928571428571429
61,0.2,-0.8223809523809524
62,0.2,-0.8242857142857143
63,0.2,-0.9414285714285714
64,0.2,-0.8595238095238096
65,0.6,-0.7661904761904762
66,0.4,-0.6309523809523809
67,0.2,-0.8276190476190476
68,0.0,-0.9976190476190476
69,0.2,-0.8171428571428572
70,0.4,-0.6628571428571428
71,0.4,-0.7338095238095238
72,0.0,-0.9976190476190476
73,0.2,-0.8476190476190476
74,0.2,-0.8304761904761905
75,0.4,-0.6480952380952381
76,0.0,-0.9976190476190476
77,0.0,-0.9976190476190476
78,0.4,-0.7842857142857143
79,0.4,-0.6542857142857142
80,0.4,-0.6476190476190476
81,0.4,-0.6861904761904762
82,0.0,-0.9976190476190476
83,0.2,-0.8114285714285714
84,0.2,-0.8147619047619048
85,1.0,-0.3180952380952381
86,1.0,-0.21285714285714286
87,0.8,-0.6561904761904762
88,1.0,-0.2904761904761905
89,0.6,-0.4828571428571429
90,0.2,-0.8385714285714285
91,0.6,-0.49
92,0.4,-0.6680952380952381
93,0.4,-0.6685714285714286
94,1.0,-0.4961904761904762
95,1.0,-0.4176190476190476
96,0.2,-0.8485714285714285
97,0.4,-0.7595238095238095
98,0.4,-0.7233333333333334
99,0.2,-0.8276190476190476
100,0.0,-0.9976190476190476
101,0.4,-0.6771428571428572
102,0.0,-0.9976190476190476
103,1.0,-0.2057142857142857
104,0.4,-0.6804761904761905
105,0.0,-0.9976190476190476
106,0.4,-0.6438095238095238
107,0.0,-0.9976190476190476
108,0.4,-0.6195238095238095
109,0.8,-0.6157142857142858
110,1.0,-0.3304761904761905
111,1.0,-0.19333333333333333
112,0.0,-0.9976190476190476
113,0.4,-0.6576190476190477
114,1.0,-0.37
115,0.8,-0.5357142857142857
116,0.4,-0.6480952380952381
117,0.2,-0.8319047619047619
118,0.2,-0.8152380952380952
119,1.0,-0.4504761904761905
120,0.6,-0.5066666666666667
121,0.0,-0.9976190476190476
122,0.0,-0.9976190476190476
123,0.6,-0.49523809523809526
124,0.2,-0.810952380952381
125,1.0,-0.40523809523809523
126,0.2,-0.8147619047619048
127,1.0,-0.3376190476190476
128,1.0,-0.17476190476190476
129,0.6,-0.47333333333333333
130,0.8,-0.5038095238095238
131,0.2,-0.8147619047619048
132,0.6,-0.4676190476190476
133,0.4,-0.7114285714285714
134,0.0,-0.9976190476190476
135,0.0,-0.9976190476190476
136,0.2,-0.8704761904761905
137,0.0,-0.9976190476190476
138,0.4,-0.6928571428571428
139,0.4,-0.6247619047619047
140,0.0,-0.9976190476190476
141,0.4,-0.8
142,1.0,-0.1738095238095238
143,0.4,-0.7085714285714285
144,0.0,-0.9976190476190476
145,1.0,-0.11238095238095239
146,0.0,-0.9976190476190476
147,0.4,-0.6490476190476191
148,1.0,-0.2623809523809524
149,0.6,-0.4676190476190476
150,0.8,-0.47095238095238096
151,1.0,-0.2761904761904762
152,0.2,-0.8114285714285714
153,0.6,-0.48333333333333334
154,1.0,-0.42238095238095236
155,0.2,-0.8471428571428572
156,0.0,-0.9976190476190476
157,0.4,-0.6823809523809524
158,1.0,-0.21904761904761905
159,0.6,-0.4452380952380952
160,1.0,-0.21333333333333335
161,1.0,-0.14523809523809525
162,1.0,-0.4166666666666667
163,0.4,-0.69
164,0.0,-0.9976190476190476
