,completion,score
0,0.0,-0.9989327641408752
1,0.2,-0.8347918890074707
2,0.0,-0.9989327641408752
3,0.2,-0.8704375667022412
4,0.8,-0.5385272145144077
5,0.2,-0.808324439701174
6,0.2,-0.8027748132337247
7,0.6,-0.6207043756670224
8,0.2,-0.8044823906083245
9,0.0,-0.9989327641408752
10,0.2,-0.8866595517609391
11,0.0,-0.9989327641408752
12,0.4,-0.696478121664888
13,0.2,-0.823692636072572
14,0.0,-0.9989327641408752
15,0.2,-0.8251867662753468
16,0.0,-0.9989327641408752
17,0.2,-0.8674493062966916
18,0.6,-0.5024546424759871
19,0.4,-0.6764140875133404
20,0.2,-0.8661686232657417
21,0.0,-0.9989327641408752
22,0.0,-0.9989327641408752
23,0.2,-0.8100320170757738
24,0.4,-0.6256136606189968
25,0.6,-0.5173959445037353
26,0.4,-0.7240128068303096
27,0.2,-0.832230522945571
28,0.0,-0.9989327641408752
29,0.8,-0.31782283884738527
30,0.4,-0.7506937033084312
31,0.0,-0.9989327641408752
32,0.4,-0.648239060832444
33,0.2,-0.8350053361792956
34,0.2,-0.8364994663820704
35,0.0,-0.9989327641408752
36,0.2,-0.84034151547492
37,0.4,-0.632017075773746
38,0.8,-0.3223052294557097
39,0.2,-0.8791889007470651
40,0.4,-0.7901814300960512
41,0.2,-0.8185699039487727
42,0.4,-0.6697972251867663
43,0.0,-0.9989327641408752
44,0.6,-0.480042689434365
45,0.2,-0.9058697972251868
46,0.2,-0.8311632870864462
47,0.0,-0.9989327641408752
48,0.4,-0.7654215581643543
49,0.4,-0.7950907150480256
50,0.4,-0.7786552828175026
51,0.2,-0.9464247598719316
52,0.2,-0.8117395944503736
53,0.4,-0.7169690501600854
54,0.2,-0.8046958377801494
55,0.0,-0.9989327641408752
56,0.4,-0.6823906083244397
57,0.2,-0.8008537886872998
58,0.4,-0.727854855923159
59,1.0,-0.2192102454642476
60,0.8,-0.22732123799359658
61,0.2,-0.8070437566702241
62,0.4,-0.6764140875133404
63,0.0,-0.9989327641408752
64,0.6,-0.415795090715048
65,0.0,-0.9989327641408752
66,0.4,-0.6450373532550694
67,0.4,-0.6766275346851655
68,0.8,-0.351760939167556
69,1.0,-0.16051227321237993
70,0.0,-0.9989327641408752
71,0.4,-0.7485592315901815
72,0.2,-0.8064034151547492
73,0.6,-0.5225186766275347
74,0.0,-0.9989327641408752
75,0.8,-0.3274279615795091
76,0.4,-0.6207043756670224
77,0.4,-0.7186766275346852
78,1.0,-0.2712913553895411
79,0.2,-0.8132337246531484
80,0.4,-0.6130202774813234
81,0.4,-0.6364994663820704
82,0.2,-0.8429028815368197
83,0.2,-0.855923159018143
84,0.8,-0.4499466382070438
85,0.4,-0.6407684098185699
86,0.4,-0.6990394877267876
87,0.2,-0.8123799359658485
88,0.2,-0.8482390608324439
89,0.4,-0.6774813233724654
90,0.4,-0.8064034151547492
91,0.8,-0.3112059765208111
92,0.6,-0.5086446104589114
93,0.2,-0.8221985058697973
94,0.2,-0.8130202774813233
95,0.6,-0.4994663820704376
96,0.8,-0.2753468516542156
97,1.0,-0.0695837780149413
98,0.6,-0.44268943436499464
99,0.4,-0.7071504802561366
100,1.0,-0.216008537886873
101,0.4,-0.6042689434364995
102,1.0,-0.07491995731056564
103,1.0,-0.21173959445037352
104,0.4,-0.6437566702241195
105,0.4,-0.7163287086446105
106,0.4,-0.6181430096051227
107,0.4,-0.6804695837780149
108,0.4,-0.6548559231590182
109,0.6,-0.4631803628601921
110,0.4,-0.6821771611526147
111,0.8,-0.3415154749199573
112,0.4,-0.6386339381003202
113,0.8,-0.32828175026680895
